Time,Mid_Price,Ask_Size_1,Ask_Price_1,Bid_Price_1,Bid_Size_1
529.888,585.685,14,585.73,585.64,100
530.838,585.76,1,585.88,585.64,100
531.361,585.76,1,585.88,585.64,100
532.942,585.765,100,585.89,585.64,100
533.539,585.765,100,585.89,585.64,200
534.863,585.805,100,585.89,585.72,400
535.428,586.115,200,586.21,586.02,5
536.998,586.01,200,586.17,585.85,300
537.891,586.075,100,586.3,585.85,300
538.975,585.92,1,585.99,585.85,300
539.9,585.92,1,585.99,585.85,300
540.86,585.82,100,585.92,585.72,200
541.92,585.84,18,585.96,585.72,200
542.744,585.82,3,585.92,585.72,200
543.997,585.805,18,585.89,585.72,200
544.45,585.835,3,585.92,585.75,100
545.171,585.835,3,585.92,585.75,100
547.945,585.9,100,586,585.8,100
548.793,586.01,18,586.12,585.9,25
549.856,585.895,25,585.96,585.83,400
550.949,585.885,18,585.94,585.83,500
551.917,585.905,25,585.96,585.85,100
552.642,585.895,18,585.94,585.85,100
553.337,585.895,18,585.94,585.85,100
554.918,585.895,25,585.96,585.83,100
555.804,585.875,100,585.92,585.83,200
556.456,585.895,25,585.96,585.83,200
557.7,585.815,100,585.93,585.7,200
558.834,585.825,90,585.95,585.7,100
559.51,585.815,18,585.93,585.7,100
560.696,585.87,100,585.93,585.81,100
561.723,585.945,100,586.08,585.81,100
562.892,586.02,200,586.09,585.95,541
563.749,586.035,100,586.08,585.99,141
564.986,586.15,200,586.31,585.99,141
565.827,586.155,300,586.32,585.99,141
566.99,586.275,100,586.48,586.07,106
567.694,586.275,100,586.48,586.07,106
568.918,586.29,100,586.48,586.1,100
569.201,586.315,100,586.48,586.15,200
570.665,586.33,100,586.48,586.18,106
572.9,586.375,45,586.47,586.28,106
573.989,586.34,99,586.39,586.29,100
574.511,586.34,61,586.39,586.29,100
575.622,586.255,61,586.39,586.12,6
576.984,586.215,100,586.38,586.05,100
577.996,586.245,100,586.37,586.12,100
578.637,586.245,100,586.37,586.12,100
579.999,586.255,61,586.39,586.12,100
580.766,586.15,100,586.27,586.03,6
581.943,586.21,161,586.39,586.03,6
582.771,586.205,100,586.38,586.03,6
583.76,586.27,100,586.38,586.16,6
584.976,586.205,100,586.38,586.03,6
587.805,586.3,100,586.38,586.22,100
588.789,586.145,100,586.26,586.03,6
589.521,586.145,100,586.26,586.03,6
590.512,586.2,200,586.37,586.03,6
592.951,586.175,100,586.35,586,25
593.609,586.185,100,586.34,586.03,6
594.909,586.16,100,586.32,586,25
595.665,586.175,100,586.32,586.03,6
596.888,586.175,200,586.32,586.03,6
597.641,586.15,100,586.3,586,25
598.433,586.135,100,586.24,586.03,6
599.906,586.215,100,586.34,586.09,100
600.828,586.265,61,586.39,586.14,6
601.821,586.245,100,586.38,586.11,6
602.882,586.23,100,586.38,586.08,100
603.909,586.28,100,586.38,586.18,100
604.964,586.28,200,586.38,586.18,100
605.872,586.155,100,586.26,586.05,6
606.83,586.21,100,586.26,586.16,400
607.817,586.205,100,586.25,586.16,400
608.721,586.215,100,586.27,586.16,400
611.589,586.215,100,586.27,586.16,400
612.223,586.215,100,586.27,586.16,400
613.668,586.21,100,586.26,586.16,400
614.99,586.2,18,586.31,586.09,100
615.524,586.12,100,586.15,586.09,100
616.905,586.105,100,586.14,586.07,100
617.937,586.095,100,586.12,586.07,44
618.86,586.06,56,586.12,586,125
619.814,586.06,56,586.12,586,127
620.545,586.06,56,586.12,586,125
621.044,586.06,56,586.12,586,125
622.996,585.99,100,586.09,585.89,300
623.747,586,100,586.06,585.94,2
624.969,586.015,100,586.12,585.91,100
626,586.05,100,586.21,585.89,100
626.763,586.06,200,586.2,585.92,2
627.683,586.06,100,586.2,585.92,2
628.955,586.205,18,586.37,586.04,2
629.936,586.15,100,586.38,585.92,2
630.966,586.15,100,586.38,585.92,2
631.879,586.265,78,586.38,586.15,300
632.932,586.265,78,586.38,586.15,300
633.522,586.14,200,586.37,585.91,100
634.637,586.08,100,586.23,585.93,2
635.835,586.075,100,586.23,585.92,2
636.502,586.025,100,586.13,585.92,2
637.667,586.03,100,586.13,585.93,2
638.688,586.025,100,586.13,585.92,2
639.986,585.995,1,586.1,585.89,100
642.498,586.02,1,586.1,585.94,1
643.668,585.98,36,586.07,585.89,100
644.694,585.995,1,586.1,585.89,100
645.76,585.995,101,586.1,585.89,100
646.527,585.995,100,586.1,585.89,100
647.993,586.135,1,586.24,586.03,2
648.951,586.08,1,586.24,585.92,2
649.651,586.08,1,586.24,585.92,2
650.556,586.08,1,586.24,585.92,2
651.885,586.1,100,586.25,585.95,2
652.194,586.1,100,586.25,585.95,2
653.848,586.11,100,586.25,585.97,2
