Orig_Idx,Time_Interval_End,Time,Mid_Price,Ask_Size_1,Ask_Price_1,Bid_Price_1,Bid_Size_1
5866,220.5,220.426,586.37,4,586.76,585.98,18
5902,221,220.978,586.36,300,586.74,585.98,100
5916,221.5,221.433,586.38,186,586.74,586.02,18
5947,222,221.987,586.46,1000,586.86,586.06,18
5950,222.5,222.457,586.42,1000,586.86,585.98,100
5953,223,222.866,586.42,1000,586.86,585.98,100
5965,223.5,223.392,586.465,1000,586.86,586.07,18
5974,224,223.964,586.485,1000,586.86,586.11,18
5974,224.5,223.964,586.485,1000,586.86,586.11,18
5980,225,224.968,586.415,1000,586.86,585.97,100
6039,225.5,225.364,586.5,118,586.73,586.27,200
6046,226,225.671,586.35,100,586.73,585.97,100
6061,226.5,226.43,586.465,100,586.73,586.2,18
6083,227,226.997,586.525,100,586.73,586.32,18
6090,227.5,227.108,586.53,100,586.73,586.33,100
6093,228,227.592,586.365,18,586.7,586.03,100
6093,228.5,227.592,586.365,18,586.7,586.03,100
6094,229,228.975,586.365,18,586.7,586.03,100
6096,229.5,229.322,586.365,18,586.7,586.03,100
6098,230,229.922,586.51,200,586.73,586.29,4
6102,230.5,230.275,586.51,200,586.73,586.29,4
6103,231,230.626,586.495,18,586.7,586.29,4
6147,231.5,231.266,586.555,100,586.73,586.38,118
6170,232,231.878,586.51,100,586.73,586.29,4
6185,232.5,232.417,586.75,1000,586.86,586.64,100
6192,233,232.994,586.735,1000,586.86,586.61,100
6198,233.5,233.33,586.64,50,586.67,586.61,100
6198,234,233.33,586.64,50,586.67,586.61,100
6202,234.5,234.384,586.64,49,586.67,586.61,100
6205,235,234.877,586.73,12,586.82,586.64,100
6210,235.5,235.253,586.72,300,586.83,586.61,100
6212,236,235.937,586.715,12,586.82,586.61,100
6224,236.5,236.399,586.72,300,586.83,586.61,100
6239,237,236.839,586.78,250,586.83,586.73,100
6305,237.5,237.473,586.8,450,586.83,586.77,200
6311,238,237.91,586.795,200,586.82,586.77,100
6337,238.5,238.376,586.815,699,586.86,586.77,100
6343,239,238.797,586.8,699,586.86,586.74,100
6347,239.5,239.319,586.805,699,586.86,586.75,60
6354,240,239.954,586.865,3,586.95,586.78,100
6387,240.5,240.497,586.91,270,587,586.82,100
6395,241,240.824,586.895,270,587,586.79,100
6421,241.5,241.461,586.99,200,587.04,586.94,37
6628,242,241.989,586.92,5,587.09,586.75,60
6747,242.5,242.491,586.975,100,587.12,586.83,100
6780,243,242.891,586.965,100,587.09,586.84,18
6802,243.5,243.429,586.995,100,587.13,586.86,18
6863,244,243.793,586.92,100,587.09,586.75,60
6905,244.5,244.215,587.195,890,587.22,587.17,38
6913,245,244.995,587.21,200,587.25,587.17,38
6919,245.5,245.497,587.22,200,587.27,587.17,138
6950,246,245.897,587.33,132,587.41,587.25,100
6950,246.5,245.897,587.33,132,587.41,587.25,100
6957,247,246.836,587.33,92,587.41,587.25,100
6957,247.5,246.836,587.33,92,587.41,587.25,100
6984,248,247.989,587.34,100,587.42,587.26,100
6991,248.5,248.375,587.3,100,587.35,587.25,100
7003,249,248.977,587.34,5,587.41,587.27,100
7010,249.5,249.463,587.34,200,587.43,587.25,100
7016,250,249.831,587.33,100,587.41,587.25,100
7028,250.5,250.436,587.315,100,587.38,587.25,100
7059,251,250.951,587.225,100,587.37,587.08,18
7080,251.5,251.342,587.335,200,587.43,587.24,18
7090,252,251.779,587.34,200,587.43,587.25,18
7101,252.5,252.273,587.375,350,587.48,587.27,100
7110,253,252.805,587.365,350,587.48,587.25,18
7126,253.5,253.373,587.295,100,587.36,587.23,100
7129,254,253.782,587.3,50,587.36,587.24,173
7133,254.5,254.472,587.37,5,587.47,587.27,100
7152,255,254.98,587.365,250,587.48,587.25,18
7165,255.5,255.32,587.35,250,587.48,587.22,273
7168,256,255.612,587.37,5,587.45,587.29,173
7170,256.5,256.378,587.31,5,587.33,587.29,173
7200,257,256.971,587.435,185,587.5,587.37,100
7230,257.5,257.469,587.54,21,587.58,587.5,188
7254,258,257.743,587.59,125,587.65,587.53,100
7261,258.5,258.494,587.625,200,587.71,587.54,100
7282,259,259,587.68,25,587.77,587.59,18
7288,259.5,259.128,587.625,30,587.75,587.5,188
7295,260,259.784,587.645,100,587.76,587.53,18
7315,260.5,260.468,587.65,75,587.8,587.5,188
7323,261,260.796,587.665,75,587.8,587.53,18
7343,261.5,261.376,587.65,75,587.8,587.5,188
7349,262,261.892,587.665,75,587.8,587.53,18
7355,262.5,262.424,587.635,12,587.77,587.5,188
7358,263,262.936,587.64,12,587.78,587.5,188
